/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-3.x1 : 337 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-3.x2 : 254 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-3.x3 : 206 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-3.x5 : 254 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-4.x0 : 377 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-4.x1 : 314 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-4.x2 : 282 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-4.x3 : 230 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-4.x5 : 282 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-5.x0 : 477 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-5.x1 : 414 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-5.x2 : 339 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-5.x3 : 248 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000706-5.x5 : 335 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000707-1.x0 : 457 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000707-1.x1 : 381 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000707-1.x2 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000707-1.x5 : 197 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-1.x0 : 1251 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-1.x1 : 647 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-1.x2 : 281 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-1.x3 : 212 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-1.x5 : 281 cycles, 3 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-2.x0 : 290 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-2.x1 : 244 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000715-2.x2 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-1.x0 : 536 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-1.x1 : 411 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-1.x2 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-1.x5 : 197 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-2.x0 : 433 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-2.x1 : 355 cycles, 1 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-3.x0 : 365 cycles, 2 ms
/oldhome/bcd/src/git/gcc/build-6809/m6809-unknown-none/gcc/testsuite/gcc/20000717-3.x1 : 290 cycles, 2 ms
